Time,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,Q1,Q2,Dt1,Dt2,C1,C2,TE
[min],°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,l/h,l/h,°C,°C,kcal,kcal,°C
2.800,30.664,26.221,26.514,26.807,29.541,25.684,25.684,25.342,25.293,26.514,571.582,546.826,1.123,1.221,641.913,667.512,28.061
2.817,30.713,26.074,26.416,26.758,29.590,25.684,25.439,25.342,25.244,26.563,573.486,546.973,1.123,1.318,644.052,721.107,28.112
2.833,30.664,26.221,26.318,26.855,29.639,25.635,25.537,25.391,25.293,26.563,571.875,546.387,1.025,1.270,586.395,693.655,28.136
2.850,30.713,26.172,26.367,26.807,29.590,25.684,25.488,25.391,25.293,26.563,570.996,546.680,1.123,1.270,641.255,694.027,28.109
2.867,30.762,26.221,26.465,26.758,29.736,25.635,25.391,25.391,25.244,26.563,571.289,545.068,1.025,1.318,585.794,718.596,28.187
2.883,30.713,26.172,26.465,26.709,29.688,25.537,25.684,25.293,25.293,26.611,571.875,546.826,1.025,1.318,586.395,720.913,28.184
2.900,30.713,26.221,26.367,26.660,29.639,25.537,25.586,25.439,25.244,26.563,571.875,549.463,1.074,1.318,614.319,724.390,28.131
2.917,30.811,26.123,26.416,26.758,29.688,25.586,25.537,25.342,25.293,26.611,572.021,549.756,1.123,1.318,642.407,724.776,28.180
2.933,30.713,26.172,26.611,26.758,29.736,25.635,25.537,25.244,25.342,26.563,571.875,551.660,0.977,1.221,558.472,673.413,28.178
2.950,30.713,26.221,26.367,26.758,29.639,25.586,25.488,25.391,25.342,26.563,571.875,549.463,1.074,1.221,614.319,670.731,28.131
2.967,30.664,26.270,26.514,26.709,29.688,25.488,25.537,25.488,25.293,26.611,572.021,549.316,0.977,1.318,558.615,724.196,28.181
2.983,30.713,26.074,26.416,26.611,29.639,25.684,25.586,25.391,25.342,26.563,571.875,552.832,1.074,1.221,614.319,674.844,28.127
3.000,30.664,26.172,26.416,26.709,29.736,25.586,25.488,25.342,25.293,26.611,572.314,551.660,0.928,1.318,530.956,727.286,28.203
3.017,30.664,26.270,26.416,26.807,29.590,25.488,25.537,25.342,25.439,26.660,572.754,550.049,1.074,1.221,615.263,671.446,28.155
3.033,30.713,26.221,26.367,26.709,29.639,25.439,25.488,25.195,25.391,26.611,572.168,547.266,1.074,1.221,614.634,668.049,28.159
3.050,30.566,26.172,26.465,26.709,29.688,25.488,25.586,25.293,25.244,26.611,572.168,546.826,0.879,1.367,502.882,747.614,28.184
3.067,30.713,26.172,26.465,26.611,29.492,25.537,25.391,25.342,25.391,26.563,572.754,546.826,1.221,1.172,699.162,640.812,28.061
3.083,30.713,26.123,26.514,26.807,29.639,25.684,25.537,25.537,25.391,26.514,571.875,547.266,1.074,1.123,614.319,614.605,28.111
3.100,30.664,26.123,26.416,26.807,29.639,25.488,25.537,25.293,25.391,26.514,571.875,546.387,1.025,1.123,586.395,613.618,28.112
3.117,30.664,26.221,26.367,26.758,29.639,25.537,25.488,25.391,25.439,26.611,571.875,544.922,1.025,1.172,586.395,638.580,28.162
3.133,30.713,26.270,26.514,26.758,29.639,25.586,25.391,25.342,25.391,26.563,570.410,544.775,1.074,1.172,612.745,638.409,28.136
3.150,30.713,26.074,26.416,26.855,29.688,25.586,25.537,25.391,25.391,26.465,572.754,543.604,1.025,1.074,587.296,583.949,28.118
3.167,30.664,26.221,26.465,26.758,29.688,25.391,25.537,25.391,25.391,26.611,574.512,545.654,0.977,1.221,561.047,666.082,28.189
3.183,30.664,26.172,26.465,26.758,29.688,25.537,25.439,25.293,25.391,26.660,573.193,546.240,0.977,1.270,559.759,693.469,28.210
3.200,30.664,26.123,26.367,26.709,29.736,25.439,25.537,25.439,25.391,26.611,572.461,547.119,0.928,1.221,531.092,667.870,28.209
3.217,30.664,26.123,26.514,26.904,29.639,25.586,25.391,25.391,25.439,26.514,571.875,545.508,1.025,1.074,586.395,585.995,28.113
3.233,30.664,26.172,26.416,26.855,29.639,25.537,25.439,25.342,25.391,26.465,573.340,546.240,1.025,1.074,587.897,586.782,28.090
3.250,30.762,26.172,26.611,26.807,29.639,25.439,25.439,25.391,25.439,26.514,573.779,545.215,1.123,1.074,644.381,585.680,28.116
3.267,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
3.283,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
3.300,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
3.317,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
3.333,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
3.350,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
3.367,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
3.383,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
