Time,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,Q1,Q2,Dt1,Dt2,C1,C2,TE
[min],°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,l/h,l/h,°C,°C,kcal,kcal,°C
0.000,51.221,26.904,27.051,27.344,41.357,26.807,26.709,26.660,26.709,30.615,137.695,194.824,9.863,3.906,1358.128,761.032,35.064
0.017,51.172,26.904,27.051,27.393,41.357,26.709,26.758,26.611,26.611,30.713,136.963,193.945,9.814,4.102,1344.216,795.479,35.119
0.033,51.318,26.953,27.051,27.441,41.406,26.807,26.709,26.709,26.709,30.615,136.523,194.824,9.912,3.906,1353.235,761.032,35.061
0.050,51.270,26.904,27.002,27.393,41.357,26.807,26.611,26.611,26.758,30.713,135.791,194.824,9.912,3.955,1345.975,770.545,35.085
0.067,51.221,26.904,27.051,27.393,41.455,26.758,26.611,26.660,26.563,30.664,137.402,194.824,9.766,4.102,1341.820,799.084,35.127
0.083,51.270,26.807,27.051,27.441,41.504,26.709,26.758,26.660,26.563,30.762,137.109,193.945,9.766,4.199,1338.959,814.419,35.211
0.100,51.221,27.002,27.051,27.393,41.504,26.709,26.709,26.709,26.660,30.664,136.377,194.092,9.717,4.004,1325.147,777.125,35.137
0.117,51.221,26.953,27.002,27.393,41.504,26.611,26.758,26.660,26.709,30.713,137.256,193.213,9.717,4.004,1333.687,773.606,35.195
0.133,51.270,26.953,27.002,27.441,41.455,26.709,26.660,26.611,26.611,30.664,136.816,193.506,9.814,4.053,1342.778,784.228,35.134
0.150,51.318,26.904,27.051,27.393,41.553,26.709,26.807,26.611,26.709,30.811,137.402,194.238,9.766,4.102,1341.820,796.680,35.261
0.167,51.318,27.002,27.051,27.393,41.602,26.709,26.758,26.611,26.563,30.762,137.695,193.799,9.717,4.199,1337.957,813.804,35.264
0.183,51.416,26.904,27.100,27.344,41.553,26.807,26.660,26.660,26.758,30.713,136.523,193.506,9.863,3.955,1346.569,765.331,35.197
0.200,51.416,26.904,27.051,27.441,41.504,26.660,26.709,26.660,26.758,30.713,138.428,193.066,9.912,3.955,1372.111,763.593,35.219
0.217,51.270,26.904,27.002,27.539,41.504,26.758,26.709,26.563,26.514,30.762,136.670,193.359,9.766,4.248,1334.667,821.400,35.210
0.233,51.416,26.855,27.148,27.490,41.504,26.758,26.709,26.611,26.611,30.713,137.988,193.359,9.912,4.102,1367.755,793.076,35.207
0.250,51.270,26.953,26.953,27.441,41.650,26.758,26.660,26.709,26.709,30.762,138.135,194.092,9.619,4.053,1328.738,786.602,35.289
0.267,51.514,26.953,26.953,27.393,41.650,26.807,26.709,26.611,26.611,30.859,136.377,193.945,9.863,4.248,1345.124,823.889,35.315
0.283,51.318,26.904,27.100,27.441,41.699,26.709,26.709,26.611,26.660,30.713,136.816,194.238,9.619,4.053,1316.056,787.196,35.253
0.300,51.318,26.904,27.100,27.393,41.602,26.855,26.709,26.660,26.709,30.762,136.377,193.799,9.717,4.053,1325.147,785.415,35.239
0.317,51.318,26.807,26.953,27.490,41.797,26.709,26.611,26.709,26.709,30.664,136.230,193.652,9.521,3.955,1297.116,765.910,35.262
0.333,51.318,26.855,26.953,27.490,41.748,26.709,26.709,26.709,26.709,30.908,137.402,194.092,9.570,4.199,1314.983,815.034,35.401
0.350,51.318,26.953,27.051,27.344,41.699,26.709,26.953,26.611,26.709,30.713,137.109,193.213,9.619,4.004,1318.874,773.606,35.273
0.367,51.221,26.904,27.051,27.393,41.797,26.807,26.514,26.660,26.660,30.859,136.963,193.506,9.424,4.199,1290.715,812.573,35.392
0.383,51.367,26.904,27.100,27.441,41.797,26.709,26.709,26.660,26.611,30.762,136.816,194.678,9.570,4.150,1309.376,807.989,35.316
