Time,T1,T5,T9,T10,Q1,Q2,Dt1,Dt2,C1,C2,TE
[min],°C,°C,°C,°C,l/h,l/h,°C,°C,kcal,kcal,°C
23.05,58.643,50.781,25.439,41.406,559.863,138.574,7.861,15.967,4401.269,2212.586,48.921
23.067,58.496,51.709,25.586,42.139,558.838,137.842,6.787,16.553,3792.894,2281.659,49.815
23.083,59.229,50.977,25,41.016,559.57,137.549,8.252,16.016,4617.548,2202.93,49.011
23.1,57.715,50.83,25.488,41.26,559.717,137.109,6.885,15.771,3853.519,2162.418,48.947
23.117,58.643,51.123,25.439,40.625,560.156,138.135,7.52,15.186,4212.112,2097.652,49.046
23.133,59.277,50.781,25.586,41.162,557.813,138.281,8.496,15.576,4739.227,2153.893,48.87
23.15,58.643,51.611,25.781,41.162,559.863,138.574,7.031,15.381,3936.539,2131.391,49.538
23.167,58.74,50.879,25.83,41.406,558.105,138.428,7.861,15.576,4387.45,2156.174,48.996
23.183,59.375,50,25.586,41.064,558.105,137.988,9.375,15.479,5232.239,2135.854,48.229
23.2,58.74,51.025,25.488,41.113,557.959,137.988,7.715,15.625,4304.566,2156.067,49.06
23.217,58.594,51.025,25.439,40.332,556.201,137.842,7.568,14.893,4209.53,2052.82,48.902
23.233,58.936,50.781,25.635,40.967,558.691,138.135,8.154,15.332,4555.736,2117.887,48.836
23.25,58.691,51.465,26.27,40.625,558.838,137.256,7.227,14.355,4038.477,1970.372,49.327
23.267,58.74,50.879,25.635,41.113,558.545,137.695,7.861,15.479,4390.905,2131.319,48.948
23.283,59.375,51.709,26.025,41.113,558.398,137.988,7.666,15.088,4280.691,2081.952,49.609
23.3,58.838,50.879,25.439,41.211,561.182,137.549,7.959,15.771,4466.436,2169.349,48.976
23.317,58.838,50.83,25.488,41.65,561.182,136.816,8.008,16.162,4493.837,2211.242,49.031
23.333,58.496,50.781,25,41.211,559.424,137.988,7.715,16.211,4315.867,2236.919,48.888
23.35,58.887,50.977,25.537,41.895,560.01,137.695,7.91,16.357,4429.765,2252.34,49.184
23.367,58.936,50.684,25,41.26,560.01,137.256,8.252,16.26,4621.174,2231.748,48.829
23.383,58.594,51.221,25.537,41.26,561.182,138.135,7.373,15.723,4137.619,2171.845,49.253
23.4,58.887,50.732,26.416,40.771,560.156,137.695,8.154,14.355,4567.68,1976.681,48.767
23.417,58.74,50.928,25.537,41.162,558.252,137.695,7.813,15.625,4361.343,2151.489,48.996
23.433,58.936,51.514,25.977,41.211,558.984,139.16,7.422,15.234,4148.712,2120.018,49.46
23.45,58.936,50.83,25.977,40.625,558.984,137.842,8.105,14.648,4530.83,2019.167,48.811
23.467,58.008,50.635,25.488,41.26,557.52,137.842,7.373,15.771,4110.618,2173.97,48.776
23.483,58.789,50.781,25.635,41.064,556.787,137.842,8.008,15.43,4458.647,2126.856,48.853
23.5,58.789,50.928,25.586,41.26,555.762,136.816,7.861,15.674,4369.025,2144.437,49.018
23.517,58.936,50,25.781,40.82,557.959,137.402,8.936,15.039,4985.669,2066.402,48.186
23.533,59.18,50.928,25.635,41.357,559.424,137.256,8.252,15.723,4616.339,2158.027,49.042
23.55,59.375,50.928,25.586,41.26,556.787,137.695,8.447,15.674,4703.329,2158.213,49.011
23.567,58.594,50.879,25,41.846,557.959,139.453,7.715,16.846,4304.566,2349.186,49.073
23.583,58.936,50.928,25.537,41.26,555.029,136.963,8.008,15.723,4444.571,2153.42,49.014
23.6,59.131,51.563,24.951,41.26,558.252,137.256,7.568,16.309,4225.051,2238.45,49.529
23.617,58.594,50.977,25.879,41.064,560.156,137.695,7.617,15.186,4266.815,2090.979,49.021
23.633,59.082,51.221,26.465,41.309,557.813,138.428,7.861,14.844,4385.147,2054.787,49.25
23.65,59.082,50.83,25.586,40.137,557.959,137.988,8.252,14.551,4604.251,2007.837,48.71
23.667,59.18,50.244,25.098,41.211,559.863,139.16,8.936,16.113,5002.685,2242.327,48.446
23.683,59.131,50.537,25.146,41.65,557.959,137.695,8.594,16.504,4794.96,2272.511,48.778
23.7,58.789,50.781,25.586,42.041,558.398,137.842,8.008,16.455,4471.55,2268.198,49.051
23.717,58.984,50,25,40.479,558.252,138.574,8.984,15.479,5015.545,2144.923,48.107
23.733,58.936,51.318,25.098,41.699,559.717,137.695,7.617,16.602,4263.468,2285.957,49.419
23.75,58.936,50.879,25.488,41.357,560.156,137.402,8.057,15.869,4512.978,2180.457,49.003
