Time,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,Q1,Q2,Dt1,Dt2,C1,C2,TE
[min],°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,l/h,l/h,°C,°C,kcal,kcal,°C
0.000,31.445,26.123,26.367,26.758,29.688,25.586,25.586,25.488,25.439,26.611,571.875,543.604,1.758,1.172,1005.249,637.035,28.188
0.017,31.543,26.172,26.416,26.660,29.688,25.684,25.586,25.439,25.439,26.563,571.729,544.775,1.855,1.123,1060.824,611.808,28.163
0.033,31.836,26.123,26.416,26.758,29.639,25.635,25.537,25.488,25.537,26.611,571.436,541.992,2.197,1.074,1255.596,582.218,28.165
0.050,31.787,26.123,26.367,26.709,29.736,25.635,25.684,25.391,25.537,26.709,571.875,534.375,2.051,1.172,1172.791,626.221,28.274
0.067,31.982,26.123,26.416,26.807,29.736,25.879,25.537,25.439,25.586,26.709,572.314,510.791,2.246,1.123,1285.472,573.642,28.309
0.083,32.129,26.123,26.416,26.758,29.736,25.537,25.439,25.537,25.391,26.514,571.436,429.932,2.393,1.123,1367.204,482.833,28.353
0.100,32.373,26.123,26.416,26.807,29.688,25.586,25.635,25.488,25.391,26.611,568.799,385.840,2.686,1.221,1527.536,470.996,28.444
0.117,32.422,26.172,26.367,26.758,29.785,25.635,25.488,25.537,25.439,26.660,571.143,346.875,2.637,1.221,1505.942,423.431,28.604
0.133,32.617,26.123,26.416,26.807,29.688,25.635,25.586,25.537,25.586,26.563,571.875,274.951,2.930,0.977,1675.415,268.507,28.673
0.150,32.764,26.221,26.514,26.709,29.932,25.537,25.586,25.537,25.391,26.611,571.875,252.393,2.832,1.221,1619.568,308.096,28.915
0.167,32.861,26.172,26.367,26.709,29.834,25.684,25.537,25.537,25.537,26.514,571.289,247.412,3.027,0.977,1729.488,241.613,28.831
0.183,33.105,26.221,26.318,26.807,29.980,25.635,25.635,25.537,25.391,26.611,574.072,246.240,3.125,1.221,1793.976,300.586,28.969
0.200,33.252,26.123,26.465,26.709,29.834,25.586,25.586,25.537,25.537,26.514,574.072,245.508,3.418,0.977,1962.161,239.754,28.839
0.217,33.350,26.172,26.367,26.807,29.932,25.732,25.537,25.537,25.586,26.611,572.754,244.189,3.418,1.025,1957.655,250.390,28.939
0.233,33.545,26.172,26.318,26.709,29.932,25.684,25.439,25.537,25.537,26.709,571.875,243.750,3.613,1.172,2066.345,285.645,28.969
0.250,33.545,26.172,26.514,26.611,29.932,25.684,25.586,25.732,25.488,26.758,573.193,243.896,3.613,1.270,2071.109,309.634,28.984
0.267,33.740,26.074,26.367,26.807,29.980,25.635,25.586,25.391,25.488,26.611,572.900,243.750,3.760,1.123,2153.971,273.743,28.975
0.283,33.789,26.074,26.416,26.758,30.127,25.635,25.488,25.488,25.684,26.563,573.340,243.604,3.662,0.879,2099.633,214.105,29.064
0.300,34.033,26.221,26.465,26.709,30.322,25.635,25.537,25.488,25.586,26.709,573.486,243.604,3.711,1.123,2128.172,273.578,29.245
0.317,34.131,26.172,26.318,26.709,30.225,25.635,25.586,25.537,25.684,26.660,573.486,243.457,3.906,0.977,2240.181,237.751,29.162
0.333,34.326,26.123,26.514,26.709,30.322,25.684,25.439,25.537,25.684,26.807,573.779,243.018,4.004,1.123,2297.359,272.920,29.276
0.350,34.375,26.221,26.367,26.758,30.322,25.781,25.488,25.488,25.635,26.709,572.314,242.432,4.053,1.074,2319.438,260.425,29.247
0.367,34.375,26.221,26.318,26.807,30.371,25.537,25.732,25.342,25.732,26.709,573.486,243.457,4.004,0.977,2296.185,237.751,29.280
0.383,34.375,26.123,26.367,26.758,30.469,25.635,25.586,25.488,25.879,26.709,574.219,243.750,3.906,0.830,2243.042,202.332,29.348
0.400,34.424,26.123,26.318,26.758,30.469,25.635,25.586,25.488,25.830,26.660,576.123,242.285,3.955,0.830,2278.612,201.116,29.341
0.417,34.570,26.172,26.367,26.709,30.566,25.586,25.635,25.537,25.781,26.758,573.340,242.578,4.004,0.977,2295.599,236.893,29.434
0.433,34.717,26.172,26.416,26.807,30.518,25.537,25.684,25.488,25.830,26.660,572.754,241.406,4.199,0.830,2405.119,200.386,29.374
0.450,34.814,26.221,26.367,26.807,30.664,25.732,25.586,25.635,25.830,26.807,572.021,241.553,4.150,0.977,2374.113,235.891,29.519
0.467,34.961,26.074,26.416,26.807,30.469,25.732,25.635,25.488,25.781,26.807,572.314,242.871,4.492,1.025,2570.944,249.038,29.378
0.483,34.912,26.123,26.318,26.807,30.811,25.586,25.586,25.537,25.781,26.758,573.486,242.871,4.102,0.977,2352.190,237.179,29.605
0.500,35.010,26.172,26.416,26.709,30.859,25.586,25.586,25.537,25.879,26.855,571.875,242.139,4.150,0.977,2373.505,236.464,29.668
0.517,35.156,26.172,26.416,26.660,30.908,25.684,25.635,25.684,25.928,26.807,571.875,241.846,4.248,0.879,2429.352,212.560,29.689
0.533,35.107,26.172,26.465,26.563,31.006,25.635,25.586,25.635,25.977,26.709,574.805,241.553,4.102,0.732,2357.597,176.919,29.734
0.550,35.254,26.270,26.416,26.709,31.104,25.635,25.635,25.635,25.977,26.758,572.021,242.578,4.150,0.781,2374.113,189.514,29.809
0.567,35.254,26.074,26.367,26.611,31.201,25.635,25.537,25.586,25.928,26.953,572.168,243.164,4.053,1.025,2318.845,249.338,29.934
0.583,35.303,26.123,26.416,26.709,31.201,25.635,25.488,25.635,26.025,26.709,572.021,243.311,4.102,0.684,2346.182,166.326,29.861
0.600,35.303,26.074,26.367,26.758,31.250,25.732,25.635,25.635,25.977,26.904,573.193,241.113,4.053,0.928,2323.000,223.689,29.963
0.617,35.400,26.123,26.465,26.660,31.250,25.684,25.684,25.586,26.074,27.002,562.500,240.820,4.150,0.928,2334.595,223.417,29.977
0.633,35.400,26.172,26.367,26.807,31.250,25.781,25.684,25.537,26.172,26.904,462.891,241.553,4.150,0.732,1921.177,176.919,29.760
0.650,35.400,26.172,26.367,26.709,31.250,25.537,25.684,25.635,26.074,27.002,404.883,241.260,4.150,0.928,1680.422,223.825,29.664
0.667,35.254,26.172,26.367,26.709,31.250,25.684,25.635,25.684,26.074,27.002,394.775,241.406,4.004,0.928,1580.644,223.961,29.638
0.683,35.303,26.221,26.367,26.855,31.250,25.684,25.586,25.635,26.025,27.051,394.629,242.432,4.053,1.025,1599.326,248.587,29.652
0.700,35.400,26.172,26.416,26.709,31.396,25.732,25.586,25.684,26.221,27.100,394.336,241.406,4.004,0.879,1578.884,212.173,29.765
0.717,35.303,26.221,26.416,26.904,31.396,25.586,25.684,25.732,26.123,27.246,393.750,242.578,3.906,1.123,1538.086,272.427,29.814
0.733,35.303,26.221,26.465,26.758,31.592,25.586,25.635,25.684,26.172,27.051,393.457,242.578,3.711,0.879,1460.094,213.203,29.860
0.750,35.205,26.221,26.514,26.758,31.738,25.635,25.586,25.732,26.221,27.051,366.064,241.406,3.467,0.830,1269.071,200.386,29.875
0.767,35.205,26.172,26.416,26.709,31.641,25.586,25.537,25.684,26.123,27.148,117.773,240.820,3.564,1.025,419.798,246.935,28.624
0.783,35.156,26.221,26.416,26.709,31.689,25.586,25.635,25.781,26.172,27.148,218.701,241.113,3.467,0.977,758.193,235.462,29.308
0.800,35.107,26.074,26.514,26.807,31.787,25.684,25.635,25.684,26.221,27.100,368.701,241.992,3.320,0.879,1224.203,212.688,29.930
0.817,35.156,26.221,26.367,26.807,31.885,25.635,25.586,25.781,26.221,27.295,397.266,241.260,3.271,1.074,1299.648,259.166,30.151
0.833,34.961,26.172,26.367,26.807,31.836,25.439,25.732,25.732,26.123,27.295,402.246,242.139,3.125,1.172,1257.019,283.756,30.130
0.850,35.010,26.172,26.514,26.709,31.885,25.684,25.586,25.977,26.172,27.246,169.482,241.553,3.125,1.074,529.633,259.480,29.159
0.867,34.912,26.074,26.465,26.709,31.934,25.684,25.439,25.781,26.270,27.100,274.219,241.260,2.979,0.830,816.765,200.264,29.671
0.883,34.912,26.074,26.465,26.660,32.031,25.684,25.635,25.830,26.172,27.246,348.047,241.406,2.881,1.074,1002.674,259.323,30.072
0.900,34.814,26.172,26.465,26.709,32.031,25.635,25.537,25.830,26.221,27.393,238.770,241.699,2.783,1.172,664.544,283.241,29.698
0.917,34.766,26.172,26.318,26.611,32.227,25.586,25.586,25.879,26.221,27.441,210.352,240.527,2.539,1.221,534.096,293.612,29.674
0.933,34.814,26.221,26.367,26.611,32.227,25.732,25.635,25.830,26.221,27.344,217.383,240.967,2.588,1.123,562.563,270.617,29.660
0.950,34.717,26.123,26.465,26.660,32.227,25.635,25.781,25.830,26.172,27.441,218.994,240.527,2.490,1.270,545.347,305.357,29.722
0.967,34.717,26.172,26.465,26.709,32.080,25.684,25.586,25.781,26.172,27.393,219.434,240.967,2.637,1.221,578.585,294.149,29.627
0.983,34.619,26.172,26.367,26.709,32.275,25.635,25.684,25.928,26.270,27.490,219.727,240.234,2.344,1.221,514.984,293.255,29.776
1.000,34.619,26.123,26.416,26.611,32.275,25.732,25.684,25.928,26.318,27.441,219.434,239.648,2.344,1.123,514.297,269.136,29.752
1.017,34.473,26.172,26.367,26.709,32.324,25.781,25.781,25.977,26.270,27.539,219.580,238.770,2.148,1.270,471.754,303.125,29.831
1.033,34.570,26.172,26.318,26.660,32.324,25.635,25.830,25.879,26.270,27.393,220.752,240.674,2.246,1.123,495.830,270.288,29.752
1.050,34.570,26.074,26.367,26.709,32.422,25.732,25.684,25.977,26.318,27.588,220.166,239.502,2.148,1.270,473.013,304.055,29.903
1.067,34.424,26.123,26.318,26.709,32.373,25.684,25.732,25.928,26.318,27.539,218.848,239.941,2.051,1.221,448.809,292.897,29.845
1.083,34.375,26.123,26.416,26.709,32.373,25.732,25.732,26.025,26.270,27.490,218.701,240.820,2.002,1.221,437.829,293.970,29.814
1.100,34.375,26.123,26.416,26.709,32.471,25.830,25.684,25.830,26.318,27.588,217.529,240.674,1.904,1.270,414.240,305.543,29.906
1.117,34.375,26.221,26.270,26.855,32.520,25.732,25.830,25.879,26.318,27.686,219.141,239.941,1.855,1.367,406.609,328.045,29.993
1.133,34.375,26.221,26.416,26.709,32.520,25.732,25.830,26.025,26.221,27.637,219.434,238.330,1.855,1.416,407.152,337.479,29.977
1.150,34.375,26.221,26.367,26.611,32.422,25.830,25.781,26.025,26.318,27.637,219.873,240.527,1.953,1.318,429.440,317.101,29.922
1.167,34.375,26.074,26.367,26.660,32.568,25.879,25.732,25.879,26.172,27.686,219.287,238.916,1.807,1.514,396.173,361.640,30.022
1.183,34.375,26.270,26.318,26.709,32.617,25.732,25.781,26.025,26.172,27.734,382.617,239.941,1.758,1.563,672.569,374.908,30.735
1.200,34.375,26.221,26.367,26.709,32.373,25.732,25.879,26.074,26.221,27.686,518.701,240.381,2.002,1.465,1038.415,352.120,30.889
1.217,34.326,26.172,26.318,26.660,32.520,25.781,25.781,26.074,26.270,27.783,572.168,240.234,1.807,1.514,1033.702,363.636,31.119
1.233,34.277,26.123,26.416,26.758,32.568,25.781,25.830,25.977,26.318,27.637,589.453,240.088,1.709,1.318,1007.366,316.522,31.141
1.250,34.277,26.123,26.367,26.709,32.568,25.732,25.830,26.074,26.221,27.734,589.893,239.795,1.709,1.514,1008.117,362.971,31.171
1.267,34.326,26.221,26.465,26.660,32.666,25.781,25.781,26.074,26.318,27.783,589.893,239.355,1.660,1.465,979.314,350.618,31.257
1.283,34.131,26.221,26.416,26.758,32.520,25.830,25.879,25.928,26.367,27.734,590.771,239.941,1.611,1.367,951.927,328.045,31.137
1.300,34.082,26.123,26.318,26.709,32.617,25.781,25.830,26.074,26.270,27.881,590.332,237.158,1.465,1.611,864.744,382.140,31.260
1.317,34.033,26.123,26.416,26.660,32.520,25.830,25.781,26.074,26.416,27.734,591.357,235.107,1.514,1.318,895.121,309.956,31.158
1.333,34.033,26.221,26.318,26.660,32.617,25.830,25.879,26.025,26.318,27.832,590.625,239.648,1.416,1.514,836.334,362.749,31.236
1.350,33.887,26.123,26.221,26.709,32.568,25.879,25.830,26.025,26.416,27.686,590.625,240.527,1.318,1.270,778.656,305.357,31.155
1.367,33.887,26.123,26.270,26.807,32.568,25.732,25.879,26.123,26.123,27.832,591.211,239.209,1.318,1.709,779.428,408.804,31.204
1.383,33.838,26.025,26.416,26.563,32.617,25.879,25.781,26.172,26.367,27.734,590.625,239.502,1.221,1.367,720.978,327.444,31.208
1.400,33.838,26.221,26.416,26.611,32.568,25.879,25.879,26.074,26.318,27.881,591.650,239.502,1.270,1.563,751.119,374.222,31.218
